,Name,Address,ZipCode,Pickup_InStore,Pickup_Curbside,Local_Delivery
0,Massachusetts-Dedham,300 Providence Hwy,02026,1.0,1.0,1.0
1,Massachusetts-Seekonk,1110 Fall River Ave,02771,1.0,1.0,1.0
2,Rhode Island-Warwick North,650 Bald Hill Rd,02886,1.0,1.0,1.0
3,Connecticut-Manchester,1181 Tolland Turnpike,06042,1.0,1.0,1.0
4,New York-Albany,161 Washington Ave Ext,12205,1.0,1.0,
5,New York-Nanuet,5101 Fashion Dr,10954,1.0,1.0,1.0
6,New York-Middletown,100 N Galleria Dr,10941,1.0,1.0,
7,New Jersey-Wayne,"77 Willowbrook Blvd, Ste 81",07470,1.0,1.0,1.0
8,New Jersey-Ocean Township,2341 NJ-66,07712,1.0,1.0,1.0
9,New York-New Hartford,4645 Commercial Dr,13413,1.0,1.0,
10,New Jersey-Brick,1930 N Jersey 88,08724,1.0,1.0,1.0
11,Pennsylvania-Whitehall Township,2520 MacArthur Road,18052,1.0,1.0,
12,Pennsylvania-Willow Grove,2620 Moreland Rd,19090,1.0,1.0,1.0
13,New York-Syracuse,9090 Destiny USA Dr,13204,1.0,1.0,
14,New Jersey-Cherry Hill,989 Church Rd,08002,1.0,1.0,1.0
15,New Jersey-Turnersville,5700 Route 42 N,08012,1.0,1.0,1.0
16,Pennsylvania-Lancaster,1890 Fruitville Pike,17601,1.0,1.0,1.0
17,Pennsylvania-Harrisburg,5070 Jonestown Rd,17112,1.0,1.0,
18,New York-Rochester,1100 Jefferson Rd,14623,1.0,1.0,
19,Pennsylvania-York,855 Town Center Dr,17408,1.0,1.0,
20,New York-Greece,3049 West Ridge Road,14626,1.0,1.0,
21,Maryland-Glen Burnie,6716 Governor Ritchie Hwy,21061,1.0,1.0,1.0
22,Maryland-Crofton,1647 Crofton Center,21114,1.0,1.0,1.0
23,Maryland-Frederick,1811 Monocacy Blvd,21701,1.0,1.0,1.0
24,Maryland-Gaithersburg,209 Kentlands Blvd,20878,1.0,1.0,1.0
25,Virginia-Leesburg,19460 Compass Creek Pkwy,20175,,,
26,Virginia-Chantilly,13910 Metrotech Dr,20151,1.0,1.0,1.0
27,Virginia-Dale City,2851 Dale Blvd,22193,1.0,1.0,1.0
28,Virginia-Manassas,8300 Sudley Rd,20109,1.0,1.0,1.0
29,Virginia-Fredericksburg,3655 Plank Rd,22407,1.0,1.0,1.0
30,Pennsylvania-Erie,2080 Interchange Rd #500,16565,1.0,1.0,
31,Virginia-Hampton,1072 W Mercury Blvd,23666,1.0,1.0,1.0
32,Virginia-Richmond,401 International Center Dr,23150,1.0,1.0,1.0
33,Pennsylvania-Monroeville,120 Mall Plaza Blvd,15146,1.0,1.0,1.0
34,Virginia-Chesapeake,1517 Sams Cir,23320,1.0,1.0,1.0
35,Pennsylvania-Pittsburgh,3000 Mcintyre Square Dr.,15237,1.0,1.0,1.0
36,Virginia-Chesterfield,11500 Midlothian Turnpike,23235,1.0,1.0,1.0
37,Pennsylvania-Coraopolis,2000 Casteel Dr,15108,1.0,1.0,1.0
38,Ohio-Niles,5555 Youngstown-Warren Rd,44446,1.0,1.0,1.0
39,Ohio-Mentor,7980 Plaza Blvd,44060,1.0,1.0,1.0
40,Ohio-North Canton,4932 Portage St NW,44720,1.0,1.0,1.0
41,Ohio-Elyria,5223 Cobblestone Rd,44035,1.0,1.0,1.0
42,North Carolina-Raleigh,4700 Green Rd - Corner of Capital & Millbrook,27604,1.0,1.0,1.0
43,Michigan-Roseville,32123 Gratiot Ave.,48066,1.0,1.0,1.0
44,Michigan-Utica,45160 Utica Park Blvd,48315,1.0,1.0,1.0
45,North Carolina-Durham,4215 University Dr,27707,1.0,1.0,1.0
46,Michigan-Troy,200 W 14 Mile Rd,48083,1.0,1.0,1.0
47,Michigan-Bloomfield Hills,2101 S Telegraph Rd,48302,1.0,1.0,1.0
48,Ohio-Columbus,6060 E Main St,43213,1.0,1.0,1.0
49,Michigan-Wixom,10800 Assembly Park Dr,48393,1.0,1.0,1.0
50,Ohio-Columbus-North,1160 Gemini Pl,43240,1.0,1.0,1.0
51,North Carolina-Greensboro,6103 Landmark Center Blvd,27407,1.0,1.0,1.0
52,Ypsilanti,3100 Washtenaw Ave,48197,1.0,1.0,1.0
53,Ohio-Hilliard,3599 Park Mill Run Dr,43026,1.0,1.0,1.0
54,Ohio-Toledo,2244 S Reynolds Rd,43614,1.0,1.0,
55,Michigan-Saginaw,5417 Bay Rd,48604,1.0,1.0,
56,Ohio-Huber Heights,8221 Troy Pike,45424,1.0,1.0,1.0
57,Ohio-Beavercreek,4480 Indian Ripple Road,45440,1.0,1.0,1.0
58,North Carolina-Concord,7965 Lyles Ln NW,28027,1.0,1.0,1.0
59,North Carolina-Charlotte Mecklenburg,900 Metropolitan Avenue,28204,,,
60,Ohio-Loveland,9570 Fields Ertel Rd,45140,1.0,1.0,1.0
61,North Carolina-Charlotte,11415 Carolina Place Pkwy,28134,1.0,1.0,1.0
62,Ohio-Springdale,11925 Commons Dr,45246,,,
63,Ohio-Cincinnati,4825 Marburg Ave,45209,1.0,1.0,1.0
64,Tennessee-Johnson City,3019 Peoples St,37604,1.0,1.0,
65,Michigan-Kalamazoo,4620 Stadium Dr,49008,1.0,1.0,
66,Kentucky-Florence,4874 Houston Rd,41042,1.0,1.0,1.0
67,Michigan-Georgetown Township,334 Chicago Dr,49428,1.0,1.0,
68,Kentucky-Lexington,1996 Pavilion Way,40509,1.0,1.0,
69,Indiana-Noblesville,301 Noble Creek Dr,46060,1.0,1.0,1.0
70,South Carolina-Greenville,35 Park Woodruff Dr,29607,1.0,1.0,1.0
71,Indiana-Indianapolis NW,3015 W 86th St,46268,1.0,1.0,1.0
72,Indiana-Greenwood,7667 Shelby St,46227,1.0,1.0,1.0
73,Kentucky-Jeffersontown,11501 Bluegrass Pkwy,40299,1.0,1.0,1.0
74,South Carolina-Charleston,6185 Rivers Ave,29406,1.0,1.0,1.0
75,Indiana-Avon,216 Gable Crossing Dr,46123,1.0,1.0,1.0
76,Indiana-Lafayette,3530 State Road 38,47905,1.0,1.0,
77,Tennessee-Farragut,11501 Parkside Dr,37934,1.0,1.0,1.0
78,Indiana-Merrillville,101 W Lincoln Hwy,46410,1.0,1.0,
79,Indiana-Bloomington,3175 W 3rd St,47404,1.0,1.0,
80,Kentucky-Elizabethtown,1811 North Dixie Hwy,42701,1.0,1.0,1.0
81,Illinois-Crestwood,13180 S Cicero Avenue,60445,1.0,1.0,1.0
82,Wisconsin-Greenfield,4601 S 27th St,53221,1.0,1.0,1.0
83,Georgia-Augusta,1323 Augusta West Parkway,30909,1.0,1.0,1.0
84,Wisconsin-Wauwatosa,3201 N Mayfair Rd,53222,1.0,1.0,1.0
85,Illinois-Elmhurst,265 Illinois 83,60126,1.0,1.0,1.0
86,Illinois-Schaumburg West,101 Barrington Rd,60194,1.0,1.0,1.0
87,Illinois-Aurora,956 N Route 59,60504,1.0,1.0,1.0
88,Illinois-Geneva,2100 South Randall Road,60134,1.0,1.0,1.0
89,Illinois-Lake in the Hills,101 Randall Rd,60156,1.0,1.0,1.0
90,Wisconsin-Grand Chute,3820 W Wisconsin Ave,54914,1.0,1.0,
91,Georgia-Athens,2656 Atlanta Hwy,30606,1.0,1.0,1.0
92,Georgia-Pooler,300 Tanger Outlet Blvd,31322,1.0,1.0,
93,Georgia-Buford,1605 Buford Hwy,30518,1.0,1.0,1.0
94,Georgia-Snellville,2420 Wisteria Dr SW,30078,1.0,1.0,1.0
95,Tennessee-Chattanooga,482 McBrien Rd,37412,1.0,1.0,1.0
96,Indiana-Evansville,101 N Green River Rd.,47715,1.0,1.0,
97,Georgia-Norcross,1887 Willow Trail Pkwy NW,30093,1.0,1.0,1.0
