,ID,Name,Address,ZipCode,FIPS_CODE,Pickup_InStore,Pickup_Curbside,Local_Delivery,Total Households,Hoseholds with Low Income,Hoseholds with Midium Income,Hoseholds with High Income,Hoseholds with Supplement Security Income,Hoseholds with Cash Public Assistance Income,White,TP_Black/African_American,TP_American_Indian,TP_Asian,TP_Other_Pacific_Islander,TP_Some_Other_Race,TP_Non_Hispan/Latin,TP_Hispan/Latin,Total_Population,POP_Teenager,POP_Adult,POP_Elder,Teenager_Worked_In_Past_1_Year,Adult_Worked_In_Past_1_Year,Elder_Worked_In_Past_1_Year,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,GQESTIMATES2014,GQESTIMATES2015,GQESTIMATES2016,GQESTIMATES2017,GQESTIMATES2018,GQESTIMATES2019,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RBIRTH2019,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RDEATH2019,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RNATURALINC2019,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RINTERNATIONALMIG2019,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RDOMESTICMIG2019,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018,RNETMIG2019,2017_sale,2018_sale,2019_sale,2020_sale,NPOPCHG2020,BIRTHS2020,DEATHS2020,NATURALINC2020,NETMIG2020,RESIDUAL2020,RBIRTH2020,RDEATH2020,POPESTIMATE2020,INTERNATIONALMIG2020,DOMESTICMIG2020,GQESTIMATES2020,RNATURALINC2020,RINTERNATIONALMIG2020,RDOMESTICMIG2020,RNETMIG2020
0,0,Massachusetts-Dedham,300 Providence Hwy,2026,50046,1.0,1.0,1.0,571421,69145,125104,140642,35322,14987,985021,225329,3237,144495,505,64615,1279950,210065,1248059,203348,655838,388873,284.7,492.6,123.6,2886223,2886209,2893130,2913815,2930950,2948179,2961394,2969060,2976061,2984763,2987207,2987283,6921,20685,17135,17229,13215,7666,7001,8702,2444,76,8533,33282,32848,32378,32074,32628,32423,31911,31799,31496,5065,21693,21336,22292,21754,22497,22222,23131,23522,24239,3468,11589,11512,10086,10320,10131,10201,8780,8277,7257,3638,14161,15494,14955,17566,16202,17866,18583,13671,12053,-141,-5016,-9840,-7543,-14439,-18601,-21052,-18617,-19495,-19212,3497,9145,5654,7412,3127,-2399,-3186,-34,-5824,-7159,-44,-49,-31,-269,-232,-66,-14,-44,-9,-22,94245,96230,95836,96669,96160,97190,96805,96985,97250,96734,96713,34.80211883,34.19493573,33.56351637,32.96563331,33.34609529,32.948194199999996,32.35408715,32.13577292,31.8433158,22.19577555,21.61495238,22.43436499,21.81881405,22.59695466,22.12290327,22.8250979,23.08412285,23.71871354,12.60634328,12.57998335,11.12915138,11.14681926,10.74914062,10.82529093,9.528989252999999,9.05165007,8.124602257000001,17.27674966,18.96815278,18.32457903,21.59211841,19.58145355,21.51141296,22.71037352,16.47002887,14.54923464,-4.192902515,-6.44875134,-5.847178112000001,-13.48599614,-17.83192766,-19.65569104,-18.86248753,-20.53943856,-19.51180464,13.08384715,12.51940144,12.47740091,8.10612227,1.74952589,1.8557219130000002,3.847885998,-4.069409693,-4.962570008999999,,,8076928.0,6835039.0,2891.421875,31728.720703125,23654.3671875,8074.353515625,-5155.220703125,-27.712890625,32.14560900893229,23.25923849265625,2995746.3284606934,11059.53500366211,-20835.889877319336,96853.9282989502,7.643306492845706,14.688021889721067,-22.43912830133502,-7.751106416876219
1,1,Massachusetts-Seekonk,1110 Fall River Ave,2771,25005,1.0,1.0,1.0,216618,23986,61389,62718,16295,7756,472579,22640,426,12603,203,33851,515863,43042,458971,66156,221597,171218,143.8,239.0,50.6,598160,598086,598984,598541,600388,601626,604164,605990,606914,609675,612729,613696,898,-443,1847,1238,2538,1826,924,2761,3054,967,1583,6189,6143,5993,5914,6006,6000,5909,6117,6038,1231,5579,5365,5613,5712,5953,5789,6050,6082,5904,352,610,778,380,202,53,211,-141,35,134,180,867,1146,1151,1489,1596,1675,1853,1737,831,393,-1915,47,-215,966,262,-941,1094,1309,36,573,-1048,1193,936,2455,1858,734,2947,3046,867,-27,-5,-124,-78,-119,-85,-21,-45,-27,-34,19110,19778,19017,19322,18791,19213,19070,18522,18317,18213,18199,17.90025836,17.48726242,17.24053898,17.24181627,17.17135455,17.00080402,16.45448777,17.49742931,17.03659354,18.810426899999996,17.97741657,19.08482189,19.95393256,20.45535805,20.70016794,20.91605045,20.19326272,20.18740849,-0.910168533,-0.490154155,-1.844282914,-2.7121162819999998,-3.284003495,-3.699363923,-4.461562687,-2.6958334219999998,-3.150814939,2.221535399,3.894540953,3.17694616,3.986507351,4.541722806,3.470174215,3.1621800089999996,3.444392568,1.8669780319999998,-12.9660451,0.954305032,0.701184967,0.37288286600000004,3.2935415789999998,-3.326586758,4.350066775,2.964960061,0.176693408,-10.74450971,4.848845986000001,3.878131127,4.359390218,7.835264385,0.143587457,7.512246783999999,6.409352629,2.04367144,8124952.0,10533903.0,9849663.0,8494277.0,1764.11328125,6033.931640625,5949.474609375,84.45703125,1716.064453125,-36.408203125,17.08955097799479,20.293372183658853,616343.247833252,1120.595458984375,963.4138488769531,18005.237396240234,-3.5458932362001345,1.8352001273466187,-0.06961470777630652,1.765585418108825
2,2,Rhode Island-Warwick North,650 Bald Hill Rd,2886,88010,1.0,1.0,1.0,307004,40500,93715,90274,26130,13355,616375,63696,4119,30608,551,55584,649564,148830,657024,101309,322936,232779,271.5,479.4,103.1,1578762,1578868,1580824,1589345,1599752,1609881,1620473,1628248,1637447,1643651,1653056,1661148,1956,8521,10407,10129,10592,7775,9199,6204,9405,8092,5192,19984,20260,20234,20092,20350,20243,19906,19698,19519,3217,13382,13262,13528,13675,14194,13900,14331,14194,14084,1975,6602,6998,6706,6417,6156,6343,5575,5504,5435,1780,5470,5769,5342,5016,5827,6124,3845,5523,4461,-1797,-3541,-2251,-1897,-713,-4106,-3225,-3173,-1592,-1754,-17,1929,3518,3445,4303,1721,2899,672,3931,2707,-2,-10,-109,-22,-128,-102,-43,-43,-30,-50,46574,46587,46549,46339,46001,46589,46057,46105,45787,45067,45131,64.42272001,64.47983085,69.07557311,72.07367607,68.70119882,65.51518597,62.3318251,60.89325721,58.20039165,61.55854123,59.43561535,67.72964018,73.33007103,69.33325087,58.98526296,62.96631743,63.24535549,58.70018999,2.864178771,5.044215516,1.345932937,-1.256394966,-0.632052043,6.529922996,-0.634492339,-2.352098281,-0.49979832799999996,10.60831543,11.50840236,9.810039469,9.241317172999999,11.91158582,11.96771096,7.248348845,10.00648929,8.290131437000001,8.463225974,8.642844693999999,-52.01682463,-26.04078663,-0.60298648,0.760481443,13.96058666,-28.39071197,64.10059495,19.07154141,20.15124706,-42.20678516,-16.79946946,11.30859935,12.7281924,21.20893551,-18.38422268,72.39072638,,7468781.0,7578993.0,7323720.0,8306.1796875,19693.142578125,14110.927734375,5582.212890625,2770.412109375,-46.447265625,60.53206230960937,61.03829122751302,1669559.6258850098,4000.234359741211,-1564.2711486816406,44817.42840576172,-2.046596751023681,7.963496088955871,45.370363327127684,53.33385941068299
3,3,Connecticut-Manchester,1181 Tolland Turnpike,6042,9003,1.0,1.0,1.0,349064,33355,92604,98753,18206,17194,639528,122103,2945,46577,356,53568,736945,157785,728735,105513,350359,272863,124.7,242.0,57.5,894014,894052,895236,896864,897706,897678,897407,896290,894141,893076,892580,891720,1184,1628,842,-28,-271,-1117,-2149,-1065,-496,-860,2453,9732,9480,9391,9346,9563,9357,9295,9232,9126,1820,7916,7739,7856,7744,7998,7812,8263,8257,8275,633,1816,1741,1535,1602,1565,1545,1032,975,851,682,3721,4470,3187,5330,5041,4533,4614,6070,3454,-38,-3904,-5393,-4743,-7286,-7758,-8254,-6739,-7574,-5188,644,-183,-923,-1556,-1956,-2717,-3721,-2125,-1504,-1734,-93,-5,24,-7,83,35,27,28,33,23,28227,29057,28523,27497,27604,27107,26813,26552,26036,25019,25022,10.86100106,10.56520504,10.4612718,10.41287739,10.66289345,10.45223189,10.40164681,10.3401775,10.22922154,8.834328442,8.624907359,8.751331192,8.628003688,8.917894159,8.726390461,9.246778651,9.248141859,9.275346074,2.026672619,1.940297676,1.7099406030000002,1.7848736969999999,1.744999295,1.725841432,1.154868155,1.092035644,0.9538754690000001,4.1526700519999995,4.981694779,3.550215441,5.938437456,5.620793256000001,5.063585249,5.16333495,6.798621907,3.871546265,-4.356899727,-6.010353455,-5.283549369,-8.117721445,-8.650290434,-9.220126327000001,-7.541333817000001,-8.48315689,-5.815165611,-0.204229675,-1.028658676,-1.7333339269999999,-2.179283989,-3.029497178,-4.156541079,-2.377998866,-1.684534983,-1.9436193469999998,,5234105.0,9594621.0,9176975.0,-851.94921875,9206.072265625,8212.255859375,993.81640625,-1873.076171875,27.30859375,10.313561290546875,9.200641148778645,890148.6280822754,4019.388214111328,-5556.250442504883,24475.069946289062,0.763102828707886,4.837719233336488,-6.576445836709352,-1.7387266040411382
4,4,New York-Albany,161 Washington Ave Ext,12205,36001,1.0,1.0,,126008,12578,37081,37555,6230,2783,232402,38407,516,19928,133,4527,289501,17925,257164,52246,113669,91249,145.2,244.4,54.5,340503,340507,340555,341447,343082,344145,344771,345393,345520,346176,345313,344386,48,892,1635,1063,626,622,127,656,-863,-927,889,3504,3565,3605,3596,3589,3564,3514,3369,3365,592,2879,2997,2846,2797,2845,2906,2942,3009,2974,297,625,568,759,799,744,658,572,360,391,284,1043,1164,957,1078,1350,1325,1147,911,805,-547,-774,-25,-605,-1216,-1453,-1852,-1062,-2136,-2125,-263,269,1139,352,-138,-103,-527,85,-1225,-1320,14,-2,-72,-48,-35,-19,-4,-1,2,2,19272,19315,19548,19841,19984,19890,19916,19593,19751,19559,19561,21.37407153,22.14613361,21.38159473,21.68685701,21.31067915,20.76216129,19.72384862,18.8979264,18.66863757,14.01824438,14.41376632,13.72430064,13.71367751,13.36607444,13.70117179,14.17229242,14.07834966,14.17311345,7.3558271379999995,7.732367291,7.657294092000001,7.973179505,7.944604706000001,7.060989500000001,5.551556197999999,4.819576742,4.495524119,3.4990525619999997,7.791558615,4.836292264,3.512888194,10.4736574,8.721690595,9.874437961,8.788398324,8.458618082000001,1.175544427,2.0250234419999997,-4.225455743,-7.76791084,-8.418440775,-16.25775974,-1.020912612,-10.307229199999998,-12.63668394,4.674596988999999,9.816582055,0.610836522,-4.2550226460000005,2.055216626,-7.53606915,8.853525349,-1.5188308769999999,-4.178065859,9613180.0,9493778.0,9117476.0,7051296.0,-541.984375,3409.20703125,2965.009765625,444.197265625,-985.46875,-0.71484375,19.1647920025,14.084385870546875,344942.8086090088,696.4670104980469,-2350.9264526367188,19437.15301513672,3.5704949743081063,9.039965306804689,-12.29939099418994,-3.259425688361878
5,5,New York-Nanuet,5101 Fashion Dr,10954,36087,1.0,1.0,1.0,100005,6882,22609,24577,4315,1910,228967,39715,544,19216,33,26239,267303,56383,243288,39697,113871,89720,111.2,242.1,63.7,311687,311691,312499,315452,317196,319284,321119,322919,323258,324622,325522,325789,808,2953,1744,2088,1835,1800,339,1364,900,267,1122,4560,4639,4622,4846,5216,5191,5344,5485,5370,451,1972,1976,2154,2000,2054,2169,2196,2334,2457,671,2588,2663,2468,2846,3162,3022,3148,3151,2913,334,1129,1110,836,836,885,909,674,540,504,-188,-758,-2056,-1209,-1864,-2253,-3608,-2468,-2806,-3177,146,371,-946,-373,-1028,-1368,-2699,-1794,-2266,-2673,-9,-6,27,-7,17,6,16,10,15,27,7183,7180,7265,7181,7055,6997,6950,6717,6624,6539,6547,14.52342619,14.66534313,14.52362997,15.13422017,16.19780199,16.06680523,16.49688214,16.87318502,16.48981823,6.280744835,6.246759652000001,6.7684766210000005,6.24606693,6.378505616,6.713330868,6.7790331539999995,7.179947827,7.544782754,8.242681356,8.418583478,7.755153343,8.888153241,9.819296377,9.353474358,9.717848984,9.693237191,8.945035475,3.595821967,3.509060331,2.626948215,2.610855977,2.7482850389999998,2.8134706130000002,2.080632216,1.661170448,1.547647744,-2.4142011080000003,-6.499664901,-3.799019608,-5.821334379,-6.996481574,-11.16721889,-7.61869482,-8.631933849,-9.755708103,1.1816208590000001,-2.99060457,-1.172071393,-3.2104784019999997,-4.248196535,-8.353748276000001,-5.538062603999999,-6.970763400000001,-8.208060358,,,,,667.5859375,5357.26171875,2348.76171875,3008.5,-2360.9140625,20.0,16.49981400903646,7.233668857424479,327004.3274078369,308.3712463378906,-3297.2284545898438,6373.557022094727,9.450830617405822,1.2502308903393555,-9.805847209420287,-8.555616317897337
6,6,New York-Middletown,100 N Galleria Dr,10941,36071,1.0,1.0,,126776,10908,31852,35581,6579,2689,279802,40849,1308,10034,229,32663,302522,75705,294438,51663,142672,100103,115.7,234.1,54.6,4826896,4825638,4835509,4894070,4957907,5012216,5065122,5125336,5180385,5222822,5256127,5271545,9871,58561,63837,54309,52906,60214,55049,42437,33305,15418,15017,61373,61638,61363,61957,63129,62656,62756,61994,61511,7011,29545,29486,31128,30855,31736,32766,33475,35309,35955,8006,31828,32152,30235,31102,31393,29890,29281,26685,25556,3372,18481,17834,20608,24360,28549,29358,28154,24391,14109,-1116,8326,14061,3995,-2134,461,-4138,-14943,-17789,-24187,2256,26807,31895,24603,22226,29010,25220,13211,6602,-10078,-391,-74,-210,-529,-422,-189,-61,-55,18,-60,96977,97661,97731,100977,101611,101462,101588,101079,102062,104377,103915,93.58498196,92.73131241,91.68108078,92.24727995,92.60608243,91.40557184,92.75278281,92.01820259,90.83508752,64.92581123,62.81513887,65.77950804,66.45215661,68.09661762,68.84681469,71.08776199,69.77395832,68.79145378,28.65917072,29.91617353,25.90157274,25.79512335,24.50946482,22.55875715,21.66502081,22.24424427,22.04363374,16.99380423,18.10589011,19.35468809,20.65738137,23.14138613,24.32842477,24.05284883,20.1964965,12.12685497,18.06971283,9.905947804,8.737307871,4.18343779,5.708895244,5.632073771,9.10203013,18.81886921,1.7624852030000002,35.06351706,28.01183791,28.09199597,24.84081917,28.85028137,29.96049853,33.15487895,39.015365700000004,13.88934017,,,,,28362.921875,61885.26171875,34969.927734375,26915.333984375,1501.8125,-54.224609375,91.50481020549479,69.20570069050783,5328419.570617676,15768.607055664062,-30693.1427154541,104667.04333496094,20.43203485063965,14.531065458880619,9.759698270727478,24.290763720460813
7,7,New Jersey-Wayne,"77 Willowbrook Blvd, Ste 81",7470,34031,1.0,1.0,1.0,163670,18717,46725,43750,7451,4055,313306,57437,1831,26351,171,89838,297941,206100,396308,62503,198762,135043,108.3,235.3,56.2,501226,501600,502023,503264,503558,503857,504547,504629,504147,504402,503183,501826,423,1241,294,299,690,82,-482,255,-1219,-1357,1809,7139,7068,6917,6921,6953,6946,6788,6707,6602,834,3647,3490,3683,3561,3735,3602,3744,3786,3769,975,3492,3578,3234,3360,3218,3344,3044,2921,2833,467,2501,2028,2191,2186,3219,3140,3529,2467,1837,-1046,-4769,-5395,-5184,-4911,-6396,-6988,-6337,-6624,-6045,-579,-2268,-3367,-2993,-2725,-3177,-3848,-2808,-4157,-4208,27,17,83,58,55,41,22,19,17,18,11019,11019,11097,11232,11096,11074,11014,11020,10608,10228,10168,14.20290922,14.04021764,13.73217592,13.72664131,13.77955877,13.77114444,13.46092257,13.31302074,13.1381908,7.255639434,6.932705086,7.311783127999999,7.062645527000001,7.4020785270000005,7.1413277079999995,7.424527713,7.514998735,7.500430344,6.947269785,7.107512549,6.420392787999999,6.66399578,6.377480241000001,6.629816728,6.03639486,5.798022003,5.637760458,4.975693508,4.028517454,4.349746629,4.335563921,6.379462056,6.2253661860000005,6.998172622,4.896857337,3.655688656,-9.487837802,-10.71688938,-10.29168714,-9.740143831000001,-12.67568789,-13.85441367,-12.56656841,-13.14827037,-12.02974302,-4.512144293,-6.688371927,-5.941940511,-5.40457991,-6.296225832,-7.629047479,-5.568395784,-8.251413032,-8.374054362,,7340684.0,9976766.0,8420179.0,-960.974609375,6691.814453125,3751.203125,2940.611328125,-3921.62109375,20.033203125,13.302534982473958,7.457231734757812,501844.3787689209,1933.6829071044922,-6086.760330200195,9928.32048034668,5.409791481266907,4.474908282359558,-12.88333043857068,-8.408422153470093
8,8,New Jersey-Ocean Township,2341 NJ-66,7712,34025,1.0,1.0,1.0,233874,15689,47947,58322,9628,3308,513711,43959,1000,33772,271,17875,556859,66528,506509,70593,232970,202946,134.2,248.4,62.6,630380,630362,630461,629119,627641,626912,625512,624079,622971,621990,620459,618795,99,-1342,-1478,-729,-1400,-1433,-1108,-981,-1531,-1664,1609,6236,6224,6001,5993,5778,5893,5753,5700,5644,1347,5388,5123,5479,5174,5493,5249,5485,5755,5867,262,848,1101,522,819,285,644,268,-55,-223,191,680,379,511,471,700,643,627,213,191,-327,-2877,-2994,-1761,-2690,-2403,-2387,-1868,-1678,-1619,-136,-2197,-2615,-1250,-2219,-1703,-1744,-1241,-1465,-1428,-27,7,36,-1,0,-15,-8,-8,-11,-13,7670,7487,7102,7075,7082,6980,7063,7057,6800,6757,6726,9.90171327,9.904834654,9.566754055,9.570241388,9.247825889,9.451104607000001,9.242056579,9.175426919,9.108705721,8.555232697000001,8.152710144,8.734585147,8.262377597,8.791676637,8.41826711,8.811521004,9.26396174,9.468599657999999,1.346480573,1.7521245109999999,0.832168908,1.307863791,0.456149252,1.032837497,0.430535575,-0.088534821,-0.359893936,1.079724988,0.603138229,0.814632782,0.7521414470000001,1.120366584,1.0312337120000001,1.007260468,0.34287121600000003,0.308249963,-4.568189396,-4.764632865,-2.807374419,-4.295669837,-3.84605843,-3.8282346339999997,-3.000897217,-2.701116907,-2.612862254,-3.4884644089999997,-4.161494637,-1.992741638,-3.54352839,-2.725691846,-2.797000922,-1.9936367480000001,-2.358245691,-2.3046122909999998,,,,,-1489.142578125,5701.173828125,5719.49609375,-18.322265625,-1459.759765625,-11.0625,9.184367794654948,9.214925390846354,617714.5706176758,94.19265747070312,-1076.944351196289,6686.671173095703,-0.6600858409584349,0.31392212589257823,-2.2430124273729857,-1.9290903011554563
9,9,New York-New Hartford,4645 Commercial Dr,13413,72108,1.0,1.0,,114597,13897,39993,37431,7293,4310,257655,15247,641,9515,156,3756,279086,14201,237430,34754,106324,96352,255.3,462.3,93.1,339681,339627,339465,338626,337890,337045,335485,333467,332436,331799,331093,330116,-162,-839,-736,-845,-1560,-2018,-1031,-637,-706,-977,947,3635,3709,3656,3587,3520,3498,3458,3515,3415,951,3635,3561,3798,3536,3882,3783,3732,3630,3651,-4,0,148,-142,51,-362,-285,-274,-115,-236,145,633,660,606,672,643,669,552,489,263,-281,-1468,-1530,-1292,-2283,-2309,-1408,-904,-1077,-1001,-136,-835,-870,-686,-1611,-1666,-739,-352,-588,-738,-22,-4,-14,-17,0,10,-7,-11,-3,-3,15491,15449,15214,14896,14836,15065,14994,15118,15179,15142,15003,42.49402198,42.03399604,42.02100409,40.28318388,39.37194174,41.2925639,42.55362366,41.79195694,40.92864324,41.59533572,40.91657216,43.5543456,43.56121464,45.81004415,45.37440585,42.44043044,42.54111464,43.67957057,0.898686251,1.117423901,-1.53334151,-3.278030759,-6.438102409,-4.08184195,0.11319320599999999,-0.749157691,-2.7509273210000003,4.752623698,5.778964725,4.299503399,4.342673721000001,3.670665703,3.134178442,2.124057061,1.5465447509999999,0.54158796,-27.2180466,-16.14842643,-5.359118487,-37.96733557,1.351813245,5.957778317000001,10.93662035,12.04182262,12.36845963,-22.46542291,-10.36946171,-1.059615089,-33.62466186,5.022478955,9.091956759,13.06067741,13.58836737,12.91004759,,6158428.0,6204214.0,5074251.0,-908.74609375,3458.71875,3668.484375,-209.765625,-695.009765625,-3.97265625,41.32935874777344,43.392473426614586,328917.75422668457,212.40150451660156,-545.4455108642578,15140.100875854492,-1.3550738805971072,-0.26021973486053485,20.54260962933587,20.282389894459413
