ID,Name,Address,ZipCode,FIPS_CODE,Pickup_InStore,Pickup_Curbside,Local_Delivery,POPESTIMATE2019,NPOPCHG_2019,BIRTHS2019,DEATHS2019,NATURALINC2019,INTERNATIONALMIG2019,DOMESTICMIG2019,NETMIG2019,RESIDUAL2019,RBIRTH2019,RDEATH2019,RNATURALINC2019,RINTERNATIONALMIG2019,RDOMESTICMIG2019,RNETMIG2019,2019_sale
0,Massachusetts-Dedham,300 Providence Hwy,2026,50046,1.0,1.0,1.0,2987283,76,31496,24239,7257,12053,-19212,-7159,-22,31.8433158,23.71871354,8.124602257000001,14.54923464,-19.51180464,-4.962570008999999,8076928.0
1,Massachusetts-Seekonk,1110 Fall River Ave,2771,25005,1.0,1.0,1.0,613696,967,6038,5904,134,831,36,867,-34,17.03659354,20.18740849,-3.150814939,1.866978032,0.176693408,2.04367144,9849663.0
2,Rhode Island-Warwick North,650 Bald Hill Rd,2886,88010,1.0,1.0,1.0,1661148,8092,19519,14084,5435,4461,-1754,2707,-50,58.20039165,58.70018999,-0.499798328,8.290131437000001,64.10059495,72.39072638,7578993.0
3,Connecticut-Manchester,1181 Tolland Turnpike,6042,9003,1.0,1.0,1.0,891720,-860,9126,8275,851,3454,-5188,-1734,23,10.22922154,9.275346074,0.953875469,3.871546265,-5.815165611,-1.943619347,9594621.0
4,New York-Albany,161 Washington Ave Ext,12205,36001,1.0,1.0,,344386,-927,3365,2974,391,805,-2125,-1320,2,18.66863757,14.17311345,4.495524119,8.458618082000001,-12.63668394,-4.178065859,9117476.0
5,New York-Nanuet,5101 Fashion Dr,10954,36087,1.0,1.0,1.0,325789,267,5370,2457,2913,504,-3177,-2673,27,16.48981823,7.544782754,8.945035475,1.547647744,-9.755708103,-8.208060358,
6,New York-Middletown,100 N Galleria Dr,10941,36071,1.0,1.0,,5271545,15418,61511,35955,25556,14109,-24187,-10078,-60,90.83508752,68.79145378,22.04363374,12.12685497,1.7624852030000002,13.88934017,
7,New Jersey-Wayne,"77 Willowbrook Blvd, Ste 81",7470,34031,1.0,1.0,1.0,501826,-1357,6602,3769,2833,1837,-6045,-4208,18,13.1381908,7.500430344,5.637760458,3.655688656,-12.02974302,-8.374054362,9976766.0
8,New Jersey-Ocean Township,2341 NJ-66,7712,34025,1.0,1.0,1.0,618795,-1664,5644,5867,-223,191,-1619,-1428,-13,9.108705721,9.468599657999999,-0.359893936,0.308249963,-2.612862254,-2.304612291,
9,New York-New Hartford,4645 Commercial Dr,13413,72108,1.0,1.0,,330116,-977,3415,3651,-236,263,-1001,-738,-3,40.92864324,43.67957057,-2.7509273210000003,0.54158796,12.36845963,12.91004759,6204214.0
